,card,link,mana,n
0,"Rashmi, Eternities Crafter",price/Kaladesh/Rashmi+Eternities+Crafter#paper, 2 green blue,1
1,Joraga Treespeaker,price/Rise+of+the+Eldrazi/Joraga+Treespeaker#paper, green,1
2,Sakura-Tribe Scout,price/Saviors+of+Kamigawa/Sakura-Tribe+Scout#paper, green,1
3,Brineborn Cutthroat,price/Game+Night+Free-For-All/Brineborn+Cutthroat#paper, 1 blue,1
4,Faerie Mastermind,price/March+of+the+Machine/Faerie+Mastermind#paper, 1 blue,1
5,Ice-Fang Coatl,price/Modern+Horizons+2:Foil-Etched/Ice-Fang+Coatl-retro#paper, green blue,1
6,Plaxmanta,price/Dissension/Plaxmanta#paper, 1 blue,1
7,Quickling,price/Wilds+of+Eldraine+Commander/Quickling#paper, 1 blue,1
8,Saiba Cryptomancer,price/March+of+the+Machine/Saiba+Cryptomancer#paper, 1 blue,1
9,Snapcaster Mage,price/Innistrad/Snapcaster+Mage#paper, 1 blue,1
10,Stinging Lionfish,price/Jumpstart+2022/Stinging+Lionfish#paper, 1 blue,1
11,The Reality Chip,price/Kamigawa+Neon+Dynasty/The+Reality+Chip#paper, 1 blue,1
12,Zephyr Sentinel,price/The+Brothers+War/Zephyr+Sentinel#paper, 1 blue,1
13,Aboleth Spawn,price/Commander+Legends+Battle+for+Baldurs+Gate/Aboleth+Spawn-extended#paper, 2 blue,1
14,Brazen Borrower,price/Wilds+of+Eldraine+Commander/Brazen+Borrower#paper, 1 blue blue,1
15,Deceiver Exarch,price/Conspiracy+Take+the+Crown/Deceiver+Exarch#paper, 2 blue,1
16,Endurance,price/Modern+Horizons+2/Endurance#paper, 1 green green,1
17,Glademuse,price/Commander+2020/Glademuse#paper, 2 green,1
18,Green Slime,price/Commander+Legends+Battle+for+Baldurs+Gate/Green+Slime-extended#paper, 2 green,1
19,Guardian Augmenter,price/Commander+2021/Guardian+Augmenter#paper, 2 green,1
20,Pestermite,price/Jumpstart+2022/Pestermite#paper, 2 blue,1
21,Tishana's Tidebinder,price/Lost+Caverns+of+Ixalan/Tishanas+Tidebinder-borderless#paper, 2 blue,1
22,Vendilion Clique,price/Jumpstart+2022/Vendilion+Clique#paper, 1 blue blue,1
23,Wavebreak Hippocamp,price/Theros+Beyond+Death/Wavebreak+Hippocamp#paper, 2 blue,1
24,Frilled Mystic,price/Ravnica+Remastered/Frilled+Mystic#paper, green green blue blue,1
25,Slippery Bogbonder,price/Streets+of+New+Capenna+Commander/Slippery+Bogbonder#paper, 3 green,1
26,Stunt Double,price/Ravnica+Clue+Edition/Stunt+Double#paper, 3 blue,1
27,Subtlety,price/Modern+Horizons+2/Subtlety#paper, 2 blue blue,1
28,Temur Sabertooth,price/Fate+Reforged/Temur+Sabertooth#paper, 2 green green,1
29,"Venser, Shaper Savant",price/Double+Masters+2022/Venser+Shaper+Savant#paper, 2 blue blue,1
30,Voidmage Husher,price/Time+Spiral/Voidmage+Husher#paper, 3 blue,1
31,String of Disappearances,price/Modern+Horizons/String+of+Disappearances#paper, blue,1
32,Tamiyo's Safekeeping,price/Kamigawa+Neon+Dynasty/Tamiyos+Safekeeping#paper, green,1
33,Vastwood Fortification,price/Zendikar+Rising/Vastwood+Fortification#paper, green,1
34,Benefactor's Draught,price/Commander+2016/Benefactors+Draught#paper, 1 green,1
35,Beyeen Veil,price/Zendikar+Rising/Beyeen+Veil#paper, 1 blue,1
36,Counterspell,price/Dominaria+Remastered/Counterspell-retro#paper, blue blue,1
37,Echoing Truth,price/Dominaria+United+Commander/Echoing+Truth#paper, 1 blue,1
38,Jwari Disruption,price/Zendikar+Rising/Jwari+Disruption#paper, 1 blue,1
39,Lazotep Plating,price/War+of+the+Spark/Lazotep+Plating#paper, 1 blue,1
40,Nature's Lore,price/Commander+Legends+Battle+for+Baldurs+Gate/Natures+Lore#paper, 1 green,1
41,Planar Incision,price/Kamigawa+Neon+Dynasty/Planar+Incision#paper, 1 blue,1
42,Run Away Together,price/Game+Night+Free-For-All/Run+Away+Together#paper, 1 blue,1
43,Setessan Tactics,price/Journey+into+Nyx/Setessan+Tactics#paper, 1 green,1
44,Three Visits,price/Outlaws+of+Thunder+Junction+Commander/Three+Visits#paper, 1 green,1
45,Bala Ged Recovery,price/Zendikar+Rising/Bala+Ged+Recovery#paper, 2 green,1
46,Beast Within,price/Duel+Decks+Heroes+vs+Monsters/Beast+Within#paper, 2 green,1
47,Chord of Calling,price/Ravnica+Remastered/Chord+of+Calling-retro#paper, x green green green,1
48,Entish Restoration,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Entish+Restoration#paper, 2 green,1
49,Grip of Phyresis,price/Commander+2016/Grip+of+Phyresis#paper, 2 blue,1
50,Leadership Vacuum,price/Commander+2019/Leadership+Vacuum#paper, 2 blue,1
51,Pause for Reflection,price/Guilds+of+Ravnica/Pause+for+Reflection#paper, 2 green,1
52,Search for Tomorrow,price/Dominaria+United+Commander/Search+for+Tomorrow#paper, 2 green,1
53,Silundi Vision,price/Zendikar+Rising/Silundi+Vision#paper, 2 blue,1
54,Sundering Vitae,price/Modern+Masters+2015/Sundering+Vitae#paper, 2 green,1
55,Aetherize,price/Ravnica+Remastered/Aetherize-retro#paper, 3 blue,1
56,Cryptic Command,price/Modern+Masters/Cryptic+Command#paper, 1 blue blue blue,1
57,Fact or Fiction,price/Dominaria+Remastered/Fact+or+Fiction#paper, 3 blue,1
58,Sea Gate Restoration,price/Zendikar+Rising/Sea+Gate+Restoration#paper, 4 blue blue blue,1
59,Turntimber Symbiosis,price/Zendikar+Rising/Turntimber+Symbiosis#paper, 4 green green green,1
60,Simic Signet,price/Ravnica+Clue+Edition/Simic+Signet#paper, 2,1
61,Talisman of Curiosity,price/Ravnica+Murders+at+Karlov+Manor+Commander/Talisman+of+Curiosity#paper, 2,1
62,Crystal Shard,price/Mystery+Booster/Crystal+Shard#paper, 3,1
63,Kefnet's Monument,price/Amonkhet/Kefnets+Monument#paper, 3,1
64,Rhonas's Monument,price/Amonkhet/Rhonass+Monument#paper, 3,1
65,Victory Chimes,price/Commander+2021/Victory+Chimes#paper, 3,1
66,Erratic Portal,price/Exodus/Erratic+Portal#paper, 4,1
67,Burgeoning,price/Conspiracy+Take+the+Crown/Burgeoning#paper, green,1
68,Utopia Sprawl,price/Ravnica+Remastered/Utopia+Sprawl#paper, green,1
69,Wild Growth,price/Dominaria+Remastered/Wild+Growth-retro#paper, green,1
70,Cryptolith Rite,price/Shadows+over+Innistrad/Cryptolith+Rite#paper, 1 green,1
71,As Foretold,price/Doctor+Who/As+Foretold-extended#paper, 2 blue,1
72,Beastmaster Ascension,price/Mystery+Booster/Beastmaster+Ascension#paper, 2 green,1
73,Elven Chorus,price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Elven+Chorus#paper, 3 green,1
74,Wilderness Reclamation,price/Ravnica+Murders+at+Karlov+Manor+Commander/Wilderness+Reclamation#paper, 3 green,1
75,Alchemist's Refuge,price/Lost+Caverns+of+Ixalan+Commander/Alchemists+Refuge#paper,,1
76,Breeding Pool,price/Ravnica+Allegiance/Breeding+Pool#paper,,1
77,Dreamroot Cascade,price/Doctor+Who/Dreamroot+Cascade#paper,,1
78,Flooded Grove,price/Outlaws+of+Thunder+Junction+Commander/Flooded+Grove#paper,,1
79,Hinterland Harbor,price/Outlaws+of+Thunder+Junction+Commander/Hinterland+Harbor#paper,,1
80,Misty Rainforest,price/Modern+Horizons+2/Misty+Rainforest#paper,,1
81,Rejuvenating Springs,price/Commander+Legends/Rejuvenating+Springs#paper,,1
